date,ChatGPT,Gemini,Claude
2025-03-02,22,2,0
2025-03-09,21,2,0
2025-03-16,22,2,0
2025-03-23,29,3,0
2025-03-30,60,3,1
2025-04-06,26,3,0
2025-04-13,24,2,0
2025-04-20,24,3,0
2025-04-27,24,2,0
2025-05-04,23,2,0
2025-05-11,24,3,0
2025-05-18,24,3,1
2025-05-25,24,3,1
2025-06-01,27,3,1
2025-06-08,29,4,1
2025-06-15,28,3,0
2025-06-22,31,3,0
2025-06-29,30,3,1
2025-07-06,29,3,1
2025-07-13,33,4,1
2025-07-20,32,4,1
2025-07-27,33,4,1
2025-08-03,33,4,1
2025-08-10,30,4,1
2025-08-17,33,4,1
2025-08-24,33,4,1
2025-08-31,34,5,1
2025-09-07,38,64,1
2025-09-14,37,100,1
2025-09-21,33,35,1
2025-09-28,27,24,1
2025-10-05,33,20,1
2025-10-12,31,18,1
2025-10-19,25,17,0
2025-10-26,32,16,1
2025-11-02,34,16,1
2025-11-09,34,15,1
2025-11-16,33,16,1
2025-11-23,31,16,1
2025-11-30,29,16,1
2025-12-07,31,17,1
2025-12-14,31,16,1
2025-12-21,27,16,1
2025-12-28,28,17,1
2026-01-04,30,17,1
2026-01-11,28,18,1
2026-01-18,30,17,1
2026-01-25,31,16,1
2026-02-01,29,15,1
2026-02-08,29,15,2
2026-02-15,31,15,2
2026-02-22,32,17,2
2026-03-01,29,18,3
